#  r   z    drift_time (t90)
   0   0    0.0
   0   1    0.0
   0   2  246.3
   0   3  238.1
   0   4  229.9
   0   5  221.5
   0   6  212.9
   0   7  203.9
   0   8  194.3
   0   9  184.0
   0  10  172.8
   0  11  160.7
   0  12  147.8
   0  13  139.1
   0  14  148.7
   0  15  164.0
   0  16  178.4
   0  17  196.0
   0  18  213.4
   0  19  230.3
   0  20  249.0
   0  21  268.4
   0  22  288.1
   0  23  308.1
   0  24  328.4
   0  25  349.0
   0  26  369.7
   0  27  390.7
   0  28  411.5
   0  29  432.6
   0  30  453.5
   0  31  474.2
   0  32  494.8
   0  33  515.2
   0  34  535.3
   0  35  555.3
   0  36  574.9
   0  37  594.3
   0  38  613.4
   0  39  632.0
   0  40  650.0
   0  41  667.9
   0  42  685.6
   0  43  703.1
   0  44  719.6
   0  45  736.0
   0  46  752.5
   0  47  767.7
   0  48  783.3
   0  49  797.8
   0  50  812.9
   1   0    0.0
   1   1    0.0
   1   2  244.7
   1   3  236.7
   1   4  228.5
   1   5  220.3
   1   6  211.8
   1   7  202.9
   1   8  193.4
   1   9  183.1
   1  10  172.0
   1  11  159.9
   1  12  147.1
   1  13  139.1
   1  14  148.8
   1  15  164.5
   1  16  178.6
   1  17  196.3
   1  18  213.9
   1  19  231.2
   1  20  249.4
   1  21  268.8
   1  22  288.5
   1  23  308.6
   1  24  328.9
   1  25  349.5
   1  26  370.3
   1  27  391.3
   1  28  412.1
   1  29  433.0
   1  30  453.9
   1  31  474.6
   1  32  495.2
   1  33  515.6
   1  34  535.8
   1  35  555.7
   1  36  575.3
   1  37  594.7
   1  38  613.8
   1  39  632.5
   1  40  650.6
   1  41  668.3
   1  42  686.0
   1  43  703.5
   1  44  720.1
   1  45  736.5
   1  46  752.9
   1  47  768.1
   1  48  783.7
   1  49  798.3
   1  50  813.3
   2   0    0.0
   2   1    0.0
   2   2  239.0
   2   3  231.4
   2   4  224.0
   2   5  216.3
   2   6  208.3
   2   7  199.7
   2   8  190.4
   2   9  180.4
   2  10  169.5
   2  11  157.6
   2  12  144.9
   2  13  139.1
   2  14  149.2
   2  15  165.9
   2  16  179.5
   2  17  197.2
   2  18  215.3
   2  19  233.4
   2  20  251.6
   2  21  270.4
   2  22  290.0
   2  23  310.1
   2  24  330.7
   2  25  351.5
   2  26  372.2
   2  27  392.9
   2  28  413.5
   2  29  434.4
   2  30  455.2
   2  31  475.9
   2  32  496.5
   2  33  516.9
   2  34  537.0
   2  35  556.9
   2  36  576.5
   2  37  595.9
   2  38  615.0
   2  39  633.8
   2  40  652.1
   2  41  669.7
   2  42  687.2
   2  43  704.7
   2  44  721.7
   2  45  737.7
   2  46  754.1
   2  47  769.5
   2  48  785.0
   2  49  799.7
   2  50  814.5
   3   0    0.0
   3   1    0.0
   3   2  225.9
   3   3  219.8
   3   4  214.5
   3   5  208.5
   3   6  201.7
   3   7  194.1
   3   8  185.5
   3   9  175.9
   3  10  165.3
   3  11  153.7
   3  12  141.2
   3  13  139.2
   3  14  151.1
   3  15  167.3
   3  16  183.2
   3  17  198.8
   3  18  217.1
   3  19  235.7
   3  20  254.5
   3  21  273.7
   3  22  293.4
   3  23  313.4
   3  24  333.6
   3  25  354.1
   3  26  374.6
   3  27  395.2
   3  28  415.7
   3  29  436.6
   3  30  457.4
   3  31  478.2
   3  32  498.8
   3  33  519.2
   3  34  539.4
   3  35  559.2
   3  36  578.8
   3  37  598.0
   3  38  617.0
   3  39  635.7
   3  40  654.2
   3  41  672.3
   3  42  689.5
   3  43  706.7
   3  44  723.9
   3  45  740.1
   3  46  756.1
   3  47  772.2
   3  48  787.0
   3  49  802.4
   3  50  816.6
   4   0    0.0
   4   1    0.0
   4   2  196.8
   4   3  199.0
   4   4  198.8
   4   5  196.2
   4   6  191.6
   4   7  185.5
   4   8  178.0
   4   9  169.2
   4  10  159.2
   4  11  148.2
   4  12  136.0
   4  13  139.7
   4  14  156.2
   4  15  169.0
   4  16  186.5
   4  17  203.4
   4  18  219.6
   4  19  238.2
   4  20  257.3
   4  21  276.7
   4  22  296.4
   4  23  316.4
   4  24  336.7
   4  25  357.1
   4  26  377.6
   4  27  398.3
   4  28  419.1
   4  29  440.0
   4  30  461.1
   4  31  482.0
   4  32  502.6
   4  33  522.9
   4  34  543.0
   4  35  562.8
   4  36  582.4
   4  37  601.5
   4  38  620.2
   4  39  638.7
   4  40  657.0
   4  41  675.1
   4  42  692.9
   4  43  709.8
   4  44  726.6
   4  45  743.5
   4  46  759.2
   4  47  775.1
   4  48  790.3
   4  49  805.3
   4  50  819.8
   5   0  195.1
   5   1  164.8
   5   2  170.0
   5   3  177.2
   5   4  180.8
   5   5  181.2
   5   6  178.9
   5   7  174.5
   5   8  168.4
   5   9  160.6
   5  10  151.4
   5  11  140.9
   5  12  131.6
   5  13  146.4
   5  14  158.4
   5  15  175.0
   5  16  189.3
   5  17  207.2
   5  18  225.5
   5  19  243.8
   5  20  262.3
   5  21  281.2
   5  22  300.8
   5  23  321.0
   5  24  341.4
   5  25  362.1
   5  26  382.7
   5  27  403.3
   5  28  423.9
   5  29  444.6
   5  30  465.3
   5  31  485.9
   5  32  506.3
   5  33  526.6
   5  34  546.7
   5  35  566.5
   5  36  586.0
   5  37  605.3
   5  38  624.3
   5  39  643.1
   5  40  661.2
   5  41  678.8
   5  42  696.4
   5  43  714.0
   5  44  730.8
   5  45  747.0
   5  46  763.5
   5  47  778.8
   5  48  794.5
   5  49  809.2
   5  50  824.2
   6   0  184.3
   6   1  156.4
   6   2  158.8
   6   3  162.4
   6   4  165.4
   6   5  166.5
   6   6  165.4
   6   7  162.2
   6   8  157.2
   6   9  150.4
   6  10  142.1
   6  11  132.3
   6  12  138.1
   6  13  148.8
   6  14  164.7
   6  15  178.6
   6  16  196.1
   6  17  213.1
   6  18  229.5
   6  19  248.2
   6  20  267.3
   6  21  286.7
   6  22  306.4
   6  23  326.4
   6  24  346.6
   6  25  367.0
   6  26  387.5
   6  27  408.1
   6  28  428.8
   6  29  449.6
   6  30  470.5
   6  31  491.3
   6  32  511.8
   6  33  532.0
   6  34  552.0
   6  35  571.8
   6  36  591.1
   6  37  610.0
   6  38  628.8
   6  39  647.3
   6  40  665.7
   6  41  683.9
   6  42  701.5
   6  43  718.3
   6  44  735.4
   6  45  752.2
   6  46  767.8
   6  47  784.0
   6  48  799.0
   6  49  814.4
   6  50  828.8
   7   0  149.5
   7   1  147.9
   7   2  149.1
   7   3  151.0
   7   4  152.6
   7   5  153.2
   7   6  152.2
   7   7  149.5
   7   8  145.2
   7   9  139.1
   7  10  131.5
   7  11  129.5
   7  12  139.7
   7  13  156.4
   7  14  168.9
   7  15  186.2
   7  16  201.7
   7  17  218.5
   7  18  236.9
   7  19  255.6
   7  20  274.5
   7  21  293.7
   7  22  313.4
   7  23  333.4
   7  24  353.6
   7  25  374.0
   7  26  394.4
   7  27  414.9
   7  28  435.3
   7  29  455.8
   7  30  476.4
   7  31  496.9
   7  32  517.2
   7  33  537.4
   7  34  557.3
   7  35  577.0
   7  36  596.5
   7  37  615.7
   7  38  634.7
   7  39  653.3
   7  40  671.5
   7  41  689.0
   7  42  706.6
   7  43  724.2
   7  44  741.1
   7  45  757.3
   7  46  773.9
   7  47  789.3
   7  48  804.9
   7  49  819.8
   7  50  834.8
   8   0  167.9
   8   1  139.1
   8   2  139.8
   8   3  140.6
   8   4  141.1
   8   5  140.9
   8   6  139.6
   8   7  137.0
   8   8  132.9
   8   9  127.3
   8  10  125.5
   8  11  137.0
   8  12  148.2
   8  13  161.3
   8  14  177.2
   8  15  193.2
